IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.252.238,4,4,0,148.16,18.38
104.16.226.205,4,4,0,144.69,18.01
188.114.99.215,4,4,0,150.48,17.96
190.93.244.235,4,4,0,157.74,17.89
104.16.234.232,4,4,0,148.83,17.87
172.64.97.151,4,4,0,158.13,17.86
198.41.223.242,4,4,0,167.88,17.82
172.64.158.252,4,4,0,156.39,17.81
104.21.28.202,4,4,0,153.6,17.8
104.21.5.33,4,4,0,153.45,17.77
141.101.123.100,4,4,0,208.4,13.73
198.41.217.104,4,4,0,244.08,13.28
198.41.220.185,4,4,0,217.45,13.28
198.41.216.247,4,4,0,249.86,13.18
173.245.59.139,4,4,0,214.06,12.95
104.19.31.7,4,4,0,222.9,12.67
173.245.58.53,4,4,0,206.72,12.45
104.25.201.23,4,4,0,250.64,12.29
104.25.204.217,4,4,0,197.11,12.28
104.20.188.210,4,4,0,204.67,12.24
