IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.252.238,4,4,0.00,148.16,18.38
104.16.226.205,4,4,0.00,144.69,18.01
188.114.99.215,4,4,0.00,150.48,17.96
190.93.244.235,4,4,0.00,157.74,17.89
104.16.234.232,4,4,0.00,148.83,17.87
172.64.97.151,4,4,0.00,158.13,17.86
198.41.223.242,4,4,0.00,167.88,17.82
172.64.158.252,4,4,0.00,156.39,17.81
104.21.28.202,4,4,0.00,153.60,17.80
104.21.5.33,4,4,0.00,153.45,17.77
198.41.203.14,4,4,0.00,144.84,17.77
198.41.194.87,4,4,0.00,147.00,17.76
198.41.220.169,4,4,0.00,144.13,17.76
103.21.244.41,4,4,0.00,154.17,17.75
104.16.229.163,4,4,0.00,148.48,17.75
108.162.194.75,4,4,0.00,151.84,17.74
188.114.98.74,4,4,0.00,154.43,17.74
198.41.208.157,4,4,0.00,147.23,17.74
104.16.228.103,4,4,0.00,167.67,17.73
172.64.93.156,4,4,0.00,146.10,17.73
198.41.197.168,4,4,0.00,149.66,17.73
188.114.97.54,4,4,0.00,154.32,17.72
198.41.205.25,4,4,0.00,157.21,17.72
141.101.120.61,4,4,0.00,155.30,17.72
198.41.195.229,4,4,0.00,148.09,17.72
198.41.198.203,4,4,0.00,154.33,17.72
172.64.32.84,4,4,0.00,142.08,17.72
198.41.211.167,4,4,0.00,152.77,17.72
104.21.14.120,4,4,0.00,148.65,17.72
141.101.115.1,4,4,0.00,146.33,17.71
172.67.247.252,4,4,0.00,148.79,17.71
172.67.179.94,4,4,0.00,148.90,17.71
172.64.101.201,4,4,0.00,152.35,17.71
104.16.235.224,4,4,0.00,145.05,17.70
104.16.233.241,4,4,0.00,143.23,17.70
104.19.4.183,4,4,0.00,156.68,17.70
108.162.196.200,4,4,0.00,148.14,17.70
198.41.193.124,4,4,0.00,154.96,17.70
198.41.209.30,4,4,0.00,159.47,17.70
198.41.204.190,4,4,0.00,148.85,17.70
104.16.242.85,4,4,0.00,148.84,17.70
173.245.58.70,4,4,0.00,158.90,17.69
172.67.154.79,4,4,0.00,153.60,17.68
108.162.195.135,4,4,0.00,146.76,17.68
108.162.193.96,4,4,0.00,154.67,17.68
108.162.192.225,4,4,0.00,145.48,17.68
172.67.157.99,4,4,0.00,153.29,17.67
198.41.207.97,4,4,0.00,149.33,17.67
141.101.122.32,4,4,0.00,145.02,17.67
172.67.132.229,4,4,0.00,150.34,17.66
198.41.222.192,4,4,0.00,149.53,17.64
198.41.219.205,4,4,0.00,145.69,17.64
198.41.221.134,4,4,0.00,154.54,17.63
190.93.246.158,4,4,0.00,144.57,17.62
190.93.247.42,4,4,0.00,147.48,17.61
198.41.214.24,4,4,0.00,144.69,17.61
198.41.202.0,4,4,0.00,144.45,17.60
198.41.217.214,4,4,0.00,145.79,17.60
108.162.198.32,4,4,0.00,147.99,17.55
104.16.225.226,4,4,0.00,142.44,17.54
141.101.123.227,4,4,0.00,156.44,17.51
172.67.253.133,4,4,0.00,149.07,17.49
104.16.230.75,4,4,0.00,154.76,17.48
198.41.199.76,4,4,0.00,147.02,17.36
172.64.98.150,4,4,0.00,148.83,17.35
173.245.49.91,4,4,0.00,145.04,17.33
172.64.91.10,4,4,0.00,143.36,17.33
104.16.240.54,4,4,0.00,151.40,17.28
172.67.246.179,4,4,0.00,149.44,17.23
198.41.216.233,4,4,0.00,167.60,17.21
172.64.157.94,4,4,0.00,146.25,17.20
198.41.200.250,4,4,0.00,152.49,17.19
141.101.114.12,4,4,0.00,151.23,17.18
172.64.166.116,4,4,0.00,150.97,17.15
104.16.227.242,4,4,0.00,147.17,17.13
188.114.96.206,4,4,0.00,150.30,17.07
104.16.241.233,4,4,0.00,143.13,17.06
172.64.95.159,4,4,0.00,151.44,16.90
173.245.59.66,4,4,0.00,148.61,16.84
104.21.7.233,4,4,0.00,149.13,16.76
104.16.224.7,4,4,0.00,148.96,16.67
190.93.245.149,4,4,0.00,145.82,16.48
104.16.232.249,4,4,0.00,150.48,16.47
198.41.206.215,4,4,0.00,154.46,15.92
172.64.90.195,4,4,0.00,144.48,15.86
198.41.196.14,4,4,0.00,149.53,15.85
104.21.8.208,4,4,0.00,149.10,15.64
104.16.238.202,4,4,0.00,146.57,15.55
104.16.236.197,4,4,0.00,151.76,15.11
198.41.212.45,4,4,0.00,228.73,15.07
104.16.231.157,4,4,0.00,143.97,14.02
172.64.133.20,4,4,0.00,147.95,13.49
104.21.0.67,4,4,0.00,149.51,13.38
104.24.222.81,4,4,0.00,244.21,13.19
198.41.218.8,4,4,0.00,152.11,13.15
104.21.9.237,4,4,0.00,154.18,12.98
198.41.192.87,4,4,0.00,168.91,12.77
198.41.215.30,4,4,0.00,144.12,12.58
198.41.201.242,4,4,0.00,159.85,11.77
172.66.140.76,4,4,0.00,288.10,11.71
104.16.237.51,4,4,0.00,151.76,10.89
104.24.247.121,4,4,0.00,298.85,10.14
104.25.58.204,4,4,0.00,264.79,9.45
104.24.237.54,4,4,0.00,222.30,9.21
104.24.249.172,4,4,0.00,233.61,9.03
104.22.66.108,4,4,0.00,219.13,8.79
172.66.139.131,4,4,0.00,291.89,8.48
104.24.243.137,4,4,0.00,249.36,7.73
104.20.240.43,4,4,0.00,291.67,6.98
141.101.121.66,4,4,0.00,149.63,6.64
104.24.223.4,4,4,0.00,299.86,5.65
104.24.245.68,4,4,0.00,267.35,5.33
104.25.192.211,4,4,0.00,262.47,4.57
104.24.251.248,4,4,0.00,292.46,4.53
104.25.45.249,4,4,0.00,282.87,3.36
172.64.92.57,4,4,0.00,147.38,2.84
104.24.244.129,4,4,0.00,274.01,2.13
104.25.44.107,4,4,0.00,264.47,1.10
172.65.3.169,4,4,0.00,154.08,0.00
172.65.10.208,4,4,0.00,153.27,0.00
172.65.56.135,4,4,0.00,153.86,0.00
172.64.46.33,4,4,0.00,148.75,0.00
141.101.90.41,4,4,0.00,145.12,0.00
