IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.150.53.218,443,true,SIN,Asia Pacific,Singapore,92 ms,23712 kB/s
138.2.107.107,443,true,SIN,Asia Pacific,Singapore,86 ms,21687 kB/s
141.147.185.15,443,true,NRT,Asia Pacific,Tokyo,104 ms,12463 kB/s
141.147.188.120,443,true,NRT,Asia Pacific,Tokyo,118 ms,11896 kB/s
158.101.214.54,443,true,AMS,Europe,Amsterdam,181 ms,11853 kB/s
141.147.168.141,443,true,NRT,Asia Pacific,Tokyo,102 ms,11348 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,159 ms,11019 kB/s
168.138.165.174,443,true,SIN,Asia Pacific,Singapore,218 ms,10395 kB/s
132.145.118.73,443,true,LAX,North America,Los Angeles,178 ms,9889 kB/s
141.145.199.188,443,true,CDG,Europe,Paris,166 ms,9870 kB/s
192.18.130.65,443,true,SJC,North America,San Jose,191 ms,9852 kB/s
132.145.116.185,443,true,NRT,Asia Pacific,Tokyo,118 ms,9826 kB/s
129.146.16.219,443,true,LAX,North America,Los Angeles,194 ms,9699 kB/s
152.70.57.182,443,true,AMS,Europe,Amsterdam,194 ms,9694 kB/s
141.147.164.177,443,true,LAX,North America,Los Angeles,184 ms,9532 kB/s
155.248.160.218,443,true,SJC,North America,San Jose,182 ms,9437 kB/s
152.69.209.132,443,true,SIN,Asia Pacific,Singapore,206 ms,9236 kB/s
132.145.94.80,443,true,HKG,Asia Pacific,Hong Kong,196 ms,9070 kB/s
144.24.44.152,443,true,SJC,North America,San Jose,163 ms,9007 kB/s
141.148.187.195,443,true,SJC,North America,San Jose,216 ms,8974 kB/s
152.70.232.72,443,true,HKG,Asia Pacific,Hong Kong,195 ms,8885 kB/s
138.2.64.229,443,true,SIN,Asia Pacific,Singapore,84 ms,8819 kB/s
129.80.237.223,443,true,IAD,North America,Ashburn,222 ms,8766 kB/s
141.148.189.124,443,true,SJC,North America,San Jose,188 ms,8737 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,243 ms,8563 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,162 ms,8502 kB/s
141.147.114.60,443,true,LHR,Europe,London,202 ms,8370 kB/s
193.122.125.14,443,true,HKG,Asia Pacific,Hong Kong,229 ms,8330 kB/s
129.150.60.150,443,true,SIN,Asia Pacific,Singapore,85 ms,8246 kB/s
131.186.33.175,443,true,NRT,Asia Pacific,Tokyo,105 ms,8182 kB/s
150.230.213.27,443,true,SIN,Asia Pacific,Singapore,231 ms,8160 kB/s
146.56.153.113,443,true,HKG,Asia Pacific,Hong Kong,186 ms,8141 kB/s
152.70.90.168,443,true,HKG,Asia Pacific,Hong Kong,160 ms,8040 kB/s
129.80.177.42,443,true,IAD,North America,Ashburn,220 ms,7890 kB/s
140.83.36.72,443,true,SIN,Asia Pacific,Singapore,234 ms,7818 kB/s
150.230.109.218,443,true,SIN,Asia Pacific,Singapore,232 ms,7798 kB/s
