IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700::48:9163:1f29:aeae,4,3,0.25,231.91,12.46
2606:4700::48:4fd3:f116:1b6b,4,3,0.25,231.74,12.30
2606:4700::48:4fd3:3d4:ab15,4,3,0.25,229.18,11.94
2606:4700:2a:c81e:fb23:ede0:3f0:77a7,4,3,0.25,229.74,11.87
2606:4700::48:4fd3:8c98:9af2,4,3,0.25,226.84,11.67
2606:4700::b413:7c55:9b4d,4,3,0.25,224.73,11.64
2606:4700:2a:c81e:fb48:81ad:1163:5fe5,4,3,0.25,230.58,11.29
2606:4700::48:9163:1f28:d507,4,3,0.25,228.39,11.19
2606:4700::48:4fd3:b50d:d756,4,3,0.25,227.00,10.92
2606:4700:2a:c81e:fb48:286e:bea2:e40c,4,3,0.25,228.34,10.03
